;sorted regionally and nationally
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     britons   - - -
;
rebel_type			Brigantes	//Britons
category			peasant_revolt
chance				10
description			Brigantes
unit				celtic chariot cidainh bodyguards
unit				celtic chariot cidainh
unit				celtic infantry cwmyr
unit				celtic infantry uirodusios
unit                            celtic infantry teceitos
unit				celtic infantry cemmeinarn
unit				celtic infantry cemmeinarn

rebel_type			Brigantes	//Britons Brigantiae
category			peasant_revolt
chance				7
description			Brigantes
unit				celtic chariot cidainh bodyguards
unit				celtic infantry cwmyr
unit				celtic infantry cwmyr
unit				celtic infantry uirodusios
unit                            celtic infantry teceitos
unit				celtic infantry cemmeinarn
unit				celtic infantry cemmeinarn

rebel_type			Trinovantes	//Britons
category			peasant_revolt
chance				0
description			Trinovantes
unit				celtic chariot cidainh bodyguards
unit				celtic chariot cidainh
unit				celtic infantry botroas
unit				celtic infantry uirodusios
unit                            celtic infantry teceitos
unit				celtic infantry gaeroas
unit				celtic missile sotaroas merc
unit				celtic missile sotaroas merc

rebel_type			Casses	//Britons Cassemorg
category			peasant_revolt
chance				7
description			Casses
unit				celtic chariot cidainh bodyguards
unit				celtic chariot cidainh
unit				celtic infantry kluddargos
unit				celtic infantry botroas
unit				celtic infantry uirodusios
unit                            celtic infantry teceitos
unit				celtic infantry gaeroas
unit				celtic missile sotaroas merc
unit				celtic missile sotaroas merc

rebel_type 			Goidilic	//Britons Cruddain Erain
category			peasant_revolt
chance				7
description			Goidilic
unit				goidilic infantry deaisbard
unit				goidilic infantry uachtarach dubogaiscaocha slave
unit				goidilic infantry ordmhornaght
unit				goidilic infantry ordmhornaght
unit				goidilic infantry laecha
unit				goidilic infantry laecha
unit				goidilic infantry daernaght 
unit				goidilic infantry daernaght 
unit				goidilic infantry daernaght 

rebel_type 			Asturi		//Britons Asturia
category			peasant_revolt
chance				7
description			Asturi
unit				iberian infantry scortamavera
unit				iberian infantry gestikapoinann
unit				iberian infantry caetranann
unit				iberian skirmisher iovamann
unit				iberian skirmisher iovamann

rebel_type 			Belgae		//Britons
category			peasant_revolt
chance				0
description			Belgae
unit				celtic chariot cidainh bodyguards
unit				belgae cavalry taramonnos
unit				celtic infantry milnaht
unit				celtic infantry milnaht
unit				celtic infantry batacorii
unit				celtic infantry batacorii
unit				celtic infantry batacorii

rebel_type 			Bellovaci		//Britons Bellovacaea_Belgae
category			peasant_revolt
chance				8
description			Bellovaci
unit				celtic chariot cidainh bodyguards
unit				celtic cavalry remimairepos
unit				belgae cavalry taramonnos
unit				celtic infantry milnaht
unit				celtic infantry milnaht
unit				celtic infantry batacorii
unit				celtic infantry batacorii
unit				celtic infantry batacorii

rebel_type			Caledonii	//Britons
category			peasant_revolt
chance				0
description			Caledonii
unit				celtic skirmisher balroae
unit				celtic skirmisher balroae
unit				celtic skirmisher balroae
unit				celtic skirmisher balroae
unit				celtic skirmisher balroae
unit				celtic skirmisher balroae
unit				celtic skirmisher balroae

rebel_type			Calydrae	//Britons Caledryn
category			peasant_revolt
chance				9
description			Calydrae
unit				celtic skirmisher balroae
unit				celtic skirmisher balroae
unit				celtic skirmisher balroae
unit				celtic skirmisher balroae

rebel_type 			Ordovices		//Britons
category			peasant_revolt
chance				6
description			Ordovices
unit				celtic chariot cidainh bodyguards
unit				celtic infantry cwmyr
unit				celtic infantry cwmyr
unit				celtic infantry cemmeinarn
unit				celtic infantry uirodusios
unit                            celtic infantry teceitos
unit				celtic infantry cemmeinarn

rebel_type 			Cymreniu		//Britons Cambriae
category			peasant_revolt
chance				10
description			Cymreniu
unit				celtic chariot cidainh bodyguards
unit				celtic infantry uirodusios
unit                            celtic infantry teceitos
unit				celtic infantry cemmeinarn
unit				celtic infantry cemmeinarn
unit                            celtic infantry siluri
unit				celtic infantry siluri

rebel_type 			Dumnones		//Britons Cornovae
category			peasant_revolt
chance				8
description			Dumnones
unit				celtic chariot cidainh bodyguards
unit				celtic infantry uirodusios
unit                            celtic infantry teceitos
unit				celtic infantry botroas
unit				celtic infantry gaeroas
unit				celtic infantry gaeroas
