;trade value of zero indicates it cannot be traded

mine				eb/data/models_strat/resource_mine.CAS


type				gold
trade_value			3
item				eb/data/models_strat/resource_gold.CAS
icon				eb/data/ui/resources/resource_gold.tga

type				silver
trade_value			3
item				eb/data/models_strat/resource_silver.CAS
icon				eb/data/ui/resources/resource_silver.tga

type				pottery
trade_value			2
item				eb/data/models_strat/resource_pottery.CAS
icon				eb/data/ui/resources/resource_pottery.tga

type				furs
trade_value			1
item				eb/data/models_strat/resource_fur.CAS
icon				eb/data/ui/resources/resource_fur.tga

type				grain
trade_value			0
item				data/models_strat/resource_grain.CAS
icon				data/ui/resources/resource_grain.tga

type				timber
trade_value			2
item				eb/data/models_strat/resource_timber.CAS
icon				eb/data/ui/resources/resource_timber.tga

type				iron
trade_value			1
item				eb/data/models_strat/resource_iron.CAS
icon				eb/data/ui/resources/resource_iron.tga

type				olive_oil
trade_value			1
item				eb/data/models_strat/resource_olive_oil.CAS
icon				eb/data/ui/resources/resource_olive_oil.tga

type				wine
trade_value			1
item				eb/data/models_strat/resource_wine.CAS
icon				eb/data/ui/resources/resource_wine.tga

type				slaves
trade_value			0
item				eb/data/models_strat/resource_slaves.CAS
icon				eb/data/ui/resources/resource_slaves.tga

type				glass
trade_value			1
item				eb/data/models_strat/resource_glass.CAS
icon				eb/data/ui/resources/resource_glass.tga

type				marble
trade_value			2
item				eb/data/models_strat/resource_marble.CAS
icon				eb/data/ui/resources/resource_marble.tga

type				textiles
trade_value			1
item				eb/data/models_strat/resource_textiles.CAS
icon				eb/data/ui/resources/resource_textiles.tga

type				purple_dye
trade_value			4
item				eb/data/models_strat/resource_purple_dye.CAS
icon				eb/data/ui/resources/resource_purple_dye.tga

type				incense
trade_value			4
item				eb/data/models_strat/resource_incense.CAS
icon				eb/data/ui/resources/resource_incense.tga

type				silk
trade_value			0
item				eb/data/models_strat/resource_silk.CAS
icon				eb/data/ui/resources/resource_silk.tga

type				wild_animals
trade_value			1
item				eb/data/models_strat/resource_wild_animals.CAS
icon				eb/data/ui/resources/resource_wild_animals.tga

type				hides
trade_value			1
item				eb/data/models_strat/resource_hides.CAS
icon				eb/data/ui/resources/resource_hides.tga

type				tin
trade_value			2
item				eb/data/models_strat/resource_tin.CAS
icon				eb/data/ui/resources/resource_tin.tga

type				copper
trade_value			2
item				eb/data/models_strat/resource_copper.CAS
icon				eb/data/ui/resources/resource_copper.tga

type				lead
trade_value			1
item				eb/data/models_strat/resource_lead.CAS
icon				eb/data/ui/resources/resource_lead.tga

type				amber
trade_value			4
item				eb/data/models_strat/resource_amber.CAS
icon				eb/data/ui/resources/resource_amber.tga

type				elephants
trade_value			3
item				eb/data/models_strat/resource_elephants.CAS
icon				eb/data/ui/resources/resource_elephants.tga

type				camels
trade_value			1
item				eb/data/models_strat/resource_camels.CAS
icon				eb/data/ui/resources/resource_camels.tga

type				pigs
trade_value			1
item				eb/data/models_strat/resource_pigs.CAS
icon				eb/data/ui/resources/resource_pigs.tga

type				dogs
trade_value			4
item				eb/data/models_strat/resource_dogs.CAS
icon				eb/data/ui/resources/resource_dogs.tga
