; WARNING: THE FOLLOWING CODE CANNOT BE USED AS SPREADSHEET!
; Code generated by the Disaster Viewer. Please do not modify manually.
; Last modified: 27-3-08 23:00; by Sassem for EB1.1 (Except for the Flood because it's ;;)


; event			event_type
; frequency		in years
; winter		only occurs in winter 
; summer		only occurs in summer
; warning		provides a one year warning
; position		position event can occur in strat coords [can specify multiple positions on consecutive lines]
; region		region event can occur by region name [can specify multiple regions on consecutive lines]
; climate		climate event can occur by climate name [can specify multiple climates on consecutive lines]
; min_scale		minimum size for event
; max_scale		maximum size for event

event		earthquake
frequency	3
winter		true
summer		true
warning		false
position	68, 171
position	155, 32
position	189, 35
position	218, 27
position	230, 13
position	214, 6
position	227, 4
position	241, 3
position	259, 2
position	262, 19
position	322, 64
position	347, 176
position	362, 188
position	363, 177
position	355, 173
position	351, 170
position	346, 166
position	342, 184
position	334, 177
position	269, 159
position	280, 145
position	285, 158
position	291, 151
position	306, 148
position	310, 164
position	318, 145
position	319, 156
position	329, 145
position	335, 138
position	344, 148
position	341, 158
position	353, 159
position	376, 153
position	352, 150
position	355, 136
position	317, 110
position	317, 104
position	309, 95
position	300, 90
position	292, 94
position	284, 88
position	277, 94
position	265, 104
position	247, 137
position	260, 137
position	256, 122
position	250, 113
position	232, 125
position	214, 125
position	222, 137
position	210, 136
position	245, 147
position	246, 154
position	233, 155
position	221, 150
position	208, 153
position	147, 139
position	145, 134
position	98, 150
position	96, 151
position	43, 141
position	5, 118
position	32, 110
position	20, 81
position	76, 95
position	32, 100
position	42, 102
position	55, 102
position	200, 58
position	202, 96
position	203, 69
position	102, 94
position	95, 106
position	105, 103
position	88, 144
position	96, 134
position	110, 112
position	108, 120
position	194, 127
position	182, 122
position	173, 110
position	202, 118
position	193, 113
position	188, 132
position	178, 134
position	167, 127
position	157, 122
position	153, 112
position	157, 113
position	156, 107
position	163, 105
position	128, 108
position	158, 97
position	120, 143
position	114, 140
position	119, 131
position	141, 98
position	185, 97
position	187, 99
position	136, 116
position	138, 117
position	139, 123
position	146, 121
position	160, 100
position	151, 100
position	154, 93
position	149, 93
position	144, 93
position	130, 105
position	124, 125
position	128, 118
position	133, 111
position	145, 107
position	103, 107
position	133, 106
position	137, 106
position	135, 101
min_scale	2
max_scale	9

event		volcano
frequency	15
winter		true
summer		true
warning		false
position	104, 105
position	116, 11
position	103, 121
position	191, 118
position	267, 129
;New ones
position	247, 232
position	240, 229
position	243, 227
position	257, 211
position	226, 184
position	226, 173
position	228, 93
position	220, 101
position	224, 96
position	235, 94
position	210, 79
position	237, 1
position	237, 4
;inactive but on the map
;position	250, 1 Mousa Alli
;position	234, 2 Ma Alalta
;position	235, 7 Gada Ale
;position	110, 16 Tarso Toh
;position	111, 13 Tarso Tousside
;position	114, 13 Tarso Voon
;position	120, 10 Emi Koussi
;position	239, 100 Sahand
;position	249, 92 Sabalan
;position	269, 103 Damavand
;position	320, 141 Bazman
;position	324, 139 Taftan
;position	184, 116 Hasan Dagi
min_scale	5
max_scale	9

;event		flood
;frequency	50
;;frequency	2
;winter		false
;summer		false
;warning		false
;;position	206, 182
;;position	361, 90
;;position	374, 87
;;position	362, 109
;;position	369, 119
;;position	369, 149
;;position	334, 151
;;position	319, 152
;;position	304, 159
;;position	317, 180
;;position	329, 170
;;position	346, 187
;;position	52, 219
;;position	44, 216
;;position	47, 203
;;position	58, 191
;;position	74, 186
;;position	79, 182
;;position	84, 187
;;position	91, 145
;;position	87, 145
;;position	87, 137
;;position	94, 132
;;position	65, 140
;;position	67, 153
;;position	90, 165
;;position	108, 141
;;position	87, 192
;;position	7, 130
;;position	36, 114
;;position	57, 139
;;position	117, 193
;;position	125, 187
;;position	126, 175
;;position	136, 207
;;position	153, 194
;;position	162, 205
;;position	129, 162
;;position	139, 154
;;position	157, 150
;;position	152, 161
;;position	167, 162
;;position	152, 144
;;position	164, 110
;;position	173, 111
;;position	191, 165
;;position	184, 202
;;position	180, 211
;;position	189, 211
;;position	259, 93
;;position	259, 98
;;position	248, 97
;;position	245, 106
;;position	229, 116
;;position	235, 161
;;position	232, 166
;;position	227, 170
;;position	227, 179
;;position	228, 186
;;position	238, 194
;;position	234, 5
;;position	14, 114
;;position	39, 134
;;position	195, 3
;;position	198, 12
;;position	220, 26
;;position	9, 103
;;position	135, 143
;;position	128, 161
;;position	124, 152
;;position	278, 90
;;position	278, 146
;;position	330, 85
;;position	375, 126
;;position	373, 142
;;position	356, 116
;;position	339, 123
;;position	284, 191
;;position	297, 192
;;position	278, 174
;min_scale	5
;max_scale	8

event		storm
frequency	3
winter		true
summer		true
warning		false
region		the sea
min_scale	2
max_scale	5

event		horde
frequency	10
winter		false
summer		false
warning		false
region		the sea
climate		temperate_forest_deep
min_scale	2
max_scale	5

event		dustbowl
frequency	1
winter		false
summer		false
warning		false
climate		sandy_desert
min_scale	2
max_scale	5

event		locusts
frequency	1
winter		false
summer		false
warning		false
